match_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,descriptor_distance,is_ransac_inlier
85,11020,11131,597.3933715820312,69.00009155273438,597.9879150390625,69.82665252685547,123.3936767578125,1
86,10584,5276,575.548828125,47.70335006713867,575.5281982421875,47.42122268676758,123.89108276367188,1
87,10801,5020,586.4989624023438,58.64043426513672,586.2822875976562,58.52228546142578,130.6598663330078,1
88,11471,9622,620.292236328125,118.54442596435547,619.9039306640625,118.50791931152344,136.69674682617188,1
89,8530,7368,465.5196838378906,60.94335174560547,465.68853759765625,61.56614685058594,137.14590454101562,1
90,8712,10427,475.70843505859375,69.14107513427734,475.3883056640625,68.27755737304688,137.51364135742188,1
91,9372,6607,511.2112121582031,124.87483215332031,511.5448913574219,125.080810546875,139.12225341796875,1
92,9608,11528,523.8658447265625,26.40217399597168,523.7689208984375,26.5109806060791,142.87057495117188,1
93,9882,11908,538.6260375976562,15.832321166992188,539.9057006835938,17.0704402923584,143.14328002929688,1
94,10571,5289,574.8036499023438,57.293052673339844,574.305419921875,57.16483688354492,147.68209838867188,1
95,10788,5046,585.9498901367188,34.997188568115234,585.4033813476562,34.441566467285156,149.505859375,1
96,10807,3828,644.3309936523438,5.336436748504639,643.9706420898438,5.882755756378174,149.6328887939453,1
97,10904,4906,591.6563110351562,49.03072738647461,591.398193359375,48.87710189819336,152.05262756347656,1
98,8851,10601,483.7883605957031,108.77189636230469,483.5777587890625,108.9574966430664,153.68148803710938,1
99,10669,5189,579.5362548828125,47.778873443603516,579.5311279296875,47.767852783203125,153.76280212402344,1
100,10890,11743,590.8199462890625,74.2486801147461,590.0342407226562,73.52698516845703,160.03749084472656,1
101,9687,6220,527.935791015625,18.787282943725586,527.8568115234375,18.812162399291992,166.14451599121094,1
102,8526,10212,465.41961669921875,99.55128479003906,465.1387939453125,98.93807983398438,168.70980834960938,1
103,10599,3632,732.837158203125,20.468746185302734,732.8235473632812,19.805221557617188,60.55575942993164,1
104,10772,3649,733.5354614257812,38.399314880371094,733.4943237304688,38.10163879394531,74.1080322265625,1
105,6688,7473,884.0328979492188,25.198741912841797,884.262939453125,24.547224044799805,77.05193328857422,1
106,7870,6714,838.7225341796875,110.3762435913086,838.6561889648438,110.3487319946289,81.3449478149414,1
107,7663,10950,846.5903930664062,16.188016891479492,846.6476440429688,16.807395935058594,81.44322967529297,1
108,6946,7267,874.2546997070312,26.23895263671875,874.5062255859375,27.543468475341797,84.48076629638672,1
109,8281,6294,824.5252685546875,94.92352294921875,824.5140380859375,95.69676208496094,90.71383666992188,1
110,6529,9931,892.189453125,27.596845626831055,892.7332153320312,28.53643798828125,93.28987121582031,1
111,6698,7463,883.925537109375,104.90264892578125,883.7281494140625,104.18108367919922,98.2853012084961,1
112,8286,6291,824.5252685546875,94.92352294921875,824.5140380859375,95.69676208496094,99.34786987304688,1
113,1740,5959,812.8935546875,97.00820922851562,813.0308227539062,96.977294921875,101.05938720703125,1
114,6503,7643,893.6373291015625,17.711416244506836,893.3921508789062,19.081390380859375,101.6513671875,1
115,3144,12200,804.0311889648438,101.31922912597656,804.9087524414062,101.88138580322266,103.94710540771484,1
