inlier_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,projected_reference_x_px,projected_reference_y_px,reprojection_error_px,descriptor_distance
1,1856,2325,116.37511444091797,43.163238525390625,115.99329376220703,43.658321380615234,116.23551177978516,42.97169494628906,0.7280971283798265,94.81561279296875
2,2897,13050,171.32106018066406,60.89821243286133,172.5607147216797,61.05316162109375,171.18959045410156,60.71697235107422,1.4117382839669381,111.22050476074219
3,2017,2530,126.0124740600586,71.9795913696289,126.02063751220703,72.00360870361328,125.87630462646484,71.7937240600586,0.25472248724198965,122.91867065429688
4,1561,1988,101.36953735351562,59.14636993408203,100.7786865234375,59.3912353515625,101.22903442382812,58.95512008666992,0.6269049016067492,126.21014404296875
5,1871,2353,117.08963012695312,113.43431091308594,117.29237365722656,114.21929168701172,116.95532989501953,113.25392150878906,1.0225155640107944,129.1859130859375
6,1952,13942,121.68384552001953,79.07085418701172,121.80430603027344,78.71653747558594,121.54762268066406,78.885498046875,0.3073011822577567,131.0991973876953
7,3287,8593,193.89820861816406,91.77252960205078,194.6654815673828,91.96461486816406,193.77182006835938,91.5987777709961,0.9656436488172556,131.63206481933594
8,1855,2331,116.34825134277344,31.951801300048828,116.40435791015625,31.653610229492188,116.20780944824219,31.758625030517578,0.2228439057169526,132.5254669189453
9,3617,4429,214.79649353027344,19.628498077392578,214.89027404785156,19.995038986206055,214.66586303710938,19.448129653930664,0.5911599779012816,139.7139892578125
10,2161,2684,133.45733642578125,31.12197494506836,133.03152465820312,31.37272834777832,133.3190155029297,30.931167602539062,0.5269031007100273,146.86387634277344
11,2194,2730,135.0059051513672,6.9629998207092285,134.88429260253906,6.298995018005371,134.8659210205078,6.76913595199585,0.47049974796993294,149.11740112304688
12,1031,14774,71.0113525390625,19.334747314453125,70.6278305053711,18.819162368774414,70.86367797851562,19.13307762145996,0.392640823727349,149.39878845214844
13,3373,4124,199.2413330078125,31.430606842041016,199.01168823242188,31.35304069519043,199.11029052734375,31.249406814575195,0.14304682371598842,151.28781127929688
14,1601,2034,103.05547332763672,76.3121337890625,102.63691711425781,76.92525482177734,102.91645050048828,76.12381744384766,0.8487878325943917,154.36643981933594
15,1733,2183,110.02348327636719,106.92630004882812,109.96907806396484,107.08467864990234,109.88768005371094,106.74391174316406,0.3503537081311849,155.9390869140625
16,2591,13322,156.5581512451172,72.04039001464844,156.81190490722656,71.93550872802734,156.4258575439453,71.85871887207031,0.3936105291710411,157.86386108398438
17,1752,2227,110.6205062866211,15.725332260131836,111.6299057006836,15.959125518798828,110.47811889648438,15.529013633728027,1.2294751221584792,158.5749053955078
18,3286,8606,193.89820861816406,91.77252960205078,194.6654815673828,91.96461486816406,193.77182006835938,91.5987777709961,0.9656436488172556,160.1905059814453
19,1510,1904,98.37545776367188,69.40291595458984,97.2369384765625,69.71280670166016,98.23526000976562,69.21286010742188,1.1165090598591194,161.29786682128906
20,1649,2104,105.97882080078125,47.649593353271484,105.83263397216797,47.70417404174805,105.838134765625,47.457237243652344,0.24699805866122707,164.21023559570312
