moving_x,moving_y,reference_x,reference_y
455.299,99.390,542.225,184.892
812.721,767.679,778.064,624.555
727.760,514.140,720.936,457.483
723.365,364.654,720.936,357.826
1079.322,78.872,953.846,170.236
493.385,839.491,565.662,672.919
229.713,326.550,391.346,334.377
519.752,196.116,583.240,247.910
1275.611,43.699,1082.752,146.787
1167.213,325.084,1010.975,332.912
667.701,417.413,681.385,394.465
1364.967,207.840,1139.881,255.238
1398.658,407.155,1164.783,388.603
99.342,543.450,304.920,478.001
770.240,648.970,745.838,546.882
858.131,637.245,807.361,538.088
1079.322,194.650,952.381,247.910
406.959,240.082,508.533,277.221
1091.041,11.457,959.705,124.804
65.650,555.175,282.947,485.329
135.963,816.042,328.357,658.263
934.303,294.308,857.166,312.394
52.467,159.477,274.158,222.996
887.428,77.407,826.404,170.236
1227.271,263.531,1050.525,291.876
118.385,546.382,318.104,479.466
496.314,452.587,565.662,417.913
1316.627,245.945,1109.119,280.152
150.611,84.734,338.611,174.633
23.170,385.171,255.115,372.482
1483.619,360.257,1220.447,354.895
1328.346,199.047,1117.908,250.841
642.799,292.842,663.807,310.929
1066.139,766.213,943.592,624.555
702.857,106.718,703.357,187.823
1114.479,87.666,977.283,177.564
786.354,59.820,760.486,158.512
1154.029,530.260,1000.721,467.742
963.600,830.698,876.209,668.522
658.912,814.576,675.525,655.332
105.201,31.975,307.850,139.460
995.826,748.627,898.182,612.831
1000.221,116.976,901.111,196.616
1140.846,15.854,994.861,129.201
165.260,616.728,347.400,527.829
96.412,764.748,303.455,623.090
862.525,462.845,810.291,425.241
540.260,49.561,597.889,149.718
49.537,600.607,272.693,514.640
92.018,480.432,299.061,435.500
962.135,344.136,874.744,346.102
549.049,568.365,602.283,494.122
981.178,725.178,887.928,598.176
689.674,414.482,694.568,391.534
1259.498,426.207,1072.498,400.327
172.584,816.042,353.260,656.797
223.854,748.627,386.951,614.297
714.576,675.350,710.682,564.468
80.299,62.751,293.201,158.512
1439.674,330.946,1191.150,337.308
1095.436,49.561,964.100,151.184
1364.967,102.321,1141.346,186.357
657.447,322.153,674.061,329.981
1227.271,48.096,1050.525,151.184
1117.408,326.550,978.748,337.308
152.076,754.489,338.611,617.228
1433.814,498.018,1186.756,447.224
1379.615,262.066,1151.600,291.876
1170.143,11.457,1012.439,124.804
1369.361,73.010,1144.275,165.840
837.623,531.726,792.713,469.208
815.650,285.514,778.064,306.532
881.568,194.650,822.010,246.445
48.072,512.674,272.693,456.018
1414.771,792.593,1173.572,643.608
171.119,92.062,351.795,177.564
598.854,314.825,634.510,327.050
1010.475,544.916,906.971,478.001
213.600,833.629,381.092,668.522
1301.979,770.610,1101.795,626.021
72.975,134.563,288.807,206.875
175.514,581.555,354.725,502.915
1190.650,74.476,1025.623,165.840
358.619,278.187,476.307,302.135
727.760,711.988,720.936,589.382
1195.045,391.034,1030.018,379.809
103.736,827.766,307.850,665.591
1108.619,62.751,971.424,161.443
994.361,492.156,895.252,444.293
609.107,223.961,641.834,265.497
761.451,250.341,742.908,283.083
1025.123,292.842,917.225,310.929
1250.709,46.630,1068.104,149.718
1445.533,594.745,1194.080,510.243
1199.439,493.622,1031.482,444.293
1146.705,757.420,997.791,620.159
406.959,48.096,509.998,149.718
919.654,459.914,846.912,422.310
647.193,599.141,666.736,514.640
1353.248,355.861,1134.021,353.429
1241.920,285.514,1060.779,306.532
286.842,146.287,427.967,214.203
1004.615,345.602,904.041,347.567
1458.717,462.845,1204.334,425.241
89.088,109.649,299.061,189.288
1460.182,96.459,1205.799,179.029
1269.752,196.116,1078.357,246.445
783.424,843.887,756.092,677.315
642.799,782.334,665.271,634.814
1011.939,511.208,908.436,456.018
106.666,602.072,307.850,517.571
168.189,792.593,348.865,643.608
758.521,396.896,741.443,381.275
1051.490,273.790,934.803,299.204
994.361,229.824,896.717,269.893
1277.076,481.897,1084.217,436.966
169.654,769.145,350.330,626.021
86.158,360.257,294.666,356.361
181.373,637.245,360.584,539.554
263.404,725.178,413.318,598.176
209.205,119.908,378.162,198.082
83.229,42.234,294.666,145.322
128.639,665.091,323.963,558.606
1170.143,446.724,1013.904,412.051
622.291,36.371,652.088,143.856
1271.217,780.869,1079.822,634.814
1221.412,134.563,1047.596,206.875
1452.857,109.649,1199.939,190.754
31.959,804.318,260.975,650.935
1092.506,165.340,961.170,227.392
1102.760,684.143,967.029,570.330
1101.295,187.323,968.494,242.048
286.842,792.593,427.967,642.142
30.494,279.652,260.975,305.066
1470.436,165.340,1210.193,228.858
1480.689,26.113,1218.982,136.529
670.631,304.566,682.850,319.722
1085.182,232.755,958.240,272.824
926.979,770.610,851.307,627.487
1206.764,97.924,1037.342,181.961
1228.736,373.447,1053.455,366.619
1149.635,316.291,999.256,325.584
1299.049,223.961,1097.400,265.497
