moving_x,moving_y,reference_x,reference_y
379.021,146.101,379.028,146.102
479.244,35.350,479.238,35.336
453.395,100.501,453.381,100.492
487.939,85.208,487.932,85.236
317.920,324.593,317.927,324.577
149.599,223.562,149.599,223.562
398.251,208.548,398.261,208.542
441.283,397.166,441.277,397.190
194.084,4.507,194.076,4.501
363.162,181.611,363.160,181.645
425.747,403.930,425.743,403.943
434.614,222.208,434.606,222.214
406.206,162.505,406.204,162.514
47.540,12.393,47.547,12.366
190.843,168.540,190.839,168.495
510.334,78.863,510.313,78.933
306.024,308.514,306.030,308.506
508.884,95.347,508.866,95.354
306.024,308.514,306.030,308.506
485.830,80.524,485.838,80.515
180.415,172.870,180.401,172.860
456.815,82.794,456.808,82.764
157.716,173.430,157.711,173.436
418.868,244.582,418.897,244.545
510.334,78.863,510.313,78.933
387.549,206.872,387.551,206.866
73.398,295.887,73.393,295.921
110.178,124.430,110.179,124.421
390.238,138.508,390.235,138.489
191.843,164.609,191.836,164.618
433.511,262.967,433.513,262.975
151.010,210.754,151.010,210.763
166.985,205.149,166.992,205.138
176.459,158.346,176.447,158.337
406.100,286.211,406.105,286.213
476.895,84.639,476.916,84.642
73.398,295.887,73.393,295.921
187.524,164.187,187.518,164.181
362.689,314.670,362.699,314.665
70.770,147.480,70.765,147.488
431.670,268.372,431.671,268.418
112.952,123.843,112.942,123.880
220.569,209.859,220.570,209.863
276.504,118.961,276.508,118.958
53.995,128.066,54.005,128.066
91.946,78.597,91.950,78.579
389.189,186.615,389.175,186.606
117.371,240.185,117.369,240.187
172.137,186.454,172.129,186.467
232.064,265.622,232.066,265.623
291.978,37.309,291.969,37.289
21.795,161.082,21.794,161.056
100.941,80.229,100.937,80.230
285.766,358.933,285.767,358.944
429.449,187.955,429.449,187.929
194.189,288.718,194.193,288.720
139.831,207.734,139.838,207.660
164.264,182.083,164.257,182.099
471.294,57.853,471.294,57.847
485.056,127.013,485.033,127.024
120.321,210.074,120.312,210.095
150.633,64.892,150.621,64.936
337.086,292.610,337.088,292.609
354.594,179.592,354.587,179.612
113.288,289.355,113.302,289.385
176.519,158.545,176.509,158.552
335.608,345.710,335.627,345.670
425.042,233.785,425.020,233.827
124.581,95.169,124.566,95.240
100.608,396.211,100.591,396.219
126.987,264.110,126.987,264.122
163.810,8.346,163.798,8.373
333.334,361.600,333.320,361.619
440.128,210.399,440.120,210.386
16.616,80.566,16.612,80.552
93.165,382.890,93.171,382.859
75.881,60.036,75.888,60.080
124.099,299.163,124.095,299.159
265.723,316.081,265.717,316.089
50.029,82.850,50.026,82.816
289.077,285.694,289.083,285.667
346.794,306.192,346.778,306.210
405.441,242.679,405.468,242.648
266.431,277.389,266.419,277.387
273.685,119.532,273.695,119.515
365.698,146.830,365.690,146.834
414.373,190.597,414.375,190.597
83.787,311.879,83.803,311.863
249.092,158.066,249.097,158.053
495.067,81.458,495.064,81.464
18.569,76.082,18.553,76.088
107.575,145.216,107.555,145.232
200.016,178.761,200.053,178.785
117.444,131.026,117.444,131.067
269.878,201.187,269.887,201.210
293.389,307.257,293.384,307.275
321.809,354.676,321.806,354.691
341.062,291.038,341.064,291.050
